,,,,2025,,,,,,,,
행정구역,,,,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60세 이상
서울특별시,동대문구,답십리제2동(1123061000),,"27,333","27,333","1,976","1,918","2,855","4,522","3,653","4,386","6,536"
서울특별시,동대문구,장안제1동(1123065000),,"27,368","27,368","1,512","1,621","4,649","5,984","5,774","5,731","8,819"
서울특별시,동대문구,장안제2동(1123066000),,"37,131","37,131","1,751","2,477","3,525","4,877","5,623","5,054","10,765"
서울특별시,동대문구,청량리동(1123070500),,"32,830","32,830","2,299","2,887","2,009","2,110","1,978","2,824","8,565"
서울특별시,동대문구,회기동(1123071000),,"18,026","18,026",511,836,"3,384","1,507","1,063","1,189","7,758"
서울특별시,동대문구,휘경제1동(1123072000),,"10,149","10,149",278,662,"3,918","3,173","2,052","2,188","2,066"
서울특별시,동대문구,휘경제2동(1123073000),,"16,718","16,718",959,923,"5,563","3,109","2,883","3,381","3,505"
서울특별시,동대문구,이문제1동(1123074000),,"23,718","23,718",852,"1,817","5,647","3,178","2,629","2,924","6,113"
서울특별시,동대문구,이문제2동(1123075000),,"21,549","21,549","1,176","1,541","2,392","2,193","2,454","3,142","4,454"
서울특별시,중랑구,-1126000000,,"18,192","18,192",880,"1,404","45,115","58,665","50,966","61,885","5,727"
서울특별시,중랑구,면목제2동(1126052000),,"376,998","376,998","16,711","23,078","2,517","3,378","3,033","4,046","120,578"
서울특별시,중랑구,면목제4동(1126054000),,"22,982","22,982",813,"1,273","1,933","2,433","2,459","3,055","7,922"
서울특별시,중랑구,면목제5동(1126055000),,"17,526","17,526",693,"1,038","1,374","2,151","2,338","2,304","5,915"
서울특별시,중랑구,면목본동(1126056500),,"14,090","14,090","1,057",919,"4,188","5,344","4,022","5,550","3,947"
서울특별시,중랑구,면목제7동(1126057000),,"31,691","31,691",923,"1,484","2,328","3,247","2,669","3,381","10,180"
서울특별시,중랑구,면목제3.8동(1126057500),,"20,523","20,523",886,"1,002","2,869","3,494","2,899","4,104","7,010"
서울특별시,중랑구,상봉제1동(1126058000),,"23,447","23,447",745,"1,121","2,652","3,404","3,113","3,689","8,215"
서울특별시,중랑구,상봉제2동(1126059000),,"22,665","22,665","1,292","1,638","4,228","5,188","2,511","2,814","6,877"
서울특별시,중랑구,중화제1동(1126060000),,"21,176","21,176",633,680,"1,992","2,947","2,375","2,750","5,122"
서울특별시,중랑구,중화제2동(1126061000),,"17,915","17,915",746,"1,090","3,161","4,117","3,236","4,243","6,015"
서울특별시,중랑구,묵제1동(1126062000),,"25,407","25,407",955,"1,030","4,314","4,533","4,816","5,490","8,665"
서울특별시,중랑구,묵제2동(1126063000),,"33,025","33,025","1,492","2,806","2,220","2,628","2,369","2,968","9,574"
서울특별시,중랑구,망우본동(1126065500),,"17,676","17,676",674,963,"4,027","6,515","5,558","5,616","5,854"
서울특별시,중랑구,망우제3동(1126066000),,"38,013","38,013","2,580","2,290","1,665","2,001","1,792","2,785","11,427"
서울특별시,중랑구,신내1동(1126068000),,"15,189","15,189",449,783,"3,788","4,522","5,167","5,966","5,714"
서울특별시,중랑구,신내2동(1126069000),,"36,644","36,644","1,891","3,644","1,859","2,763","2,609","3,124","11,666"
서울특별시,성북구,-1129000000,,"19,029","19,029",882,"1,317","62,906","56,940","60,028","70,871","6,475"
서울특별시,성북구,성북동(1129052500),,"423,313","423,313","21,556","33,892","2,350","2,541","2,039","2,642","117,120"
서울특별시,성북구,삼선동(1129055500),,"15,543","15,543",529,967,"4,042","3,027","2,719","3,791","4,475"
서울특별시,성북구,동선동(1129057500),,"21,656","21,656",678,"1,480","4,600","2,446","1,658","1,842","5,919"
서울특별시,성북구,돈암제1동(1129058000),,"14,769","14,769",335,812,"1,704","1,815","1,714","2,448","3,076"
서울특별시,성북구,돈암제2동(1129059000),,"13,789","13,789",611,964,"2,543","2,673","3,607","4,270","4,533"
서울특별시,성북구,안암동(1129060000),,"22,894","22,894","1,462","2,477","5,851","2,175","1,382","1,876","5,862"
서울특별시,성북구,보문동(1129061000),,"15,519","15,519",356,732,"2,423","2,730","2,230","2,648","3,147"
서울특별시,성북구,정릉제1동(1129062000),,"15,823","15,823",824,952,"2,143","2,218","2,746","2,970","4,016"
서울특별시,성북구,정릉제2동(1129063000),,"17,567","17,567","1,059","1,642","2,771","2,876","2,893","3,755","4,789"
서울특별시,성북구,정릉제3동(1129064000),,"21,756","21,756","1,039","1,481","3,433","1,616","1,329","2,007","6,941"
서울특별시,성북구,정릉제4동(1129065000),,"13,855","13,855",341,816,"2,930","2,801","3,214","4,257","4,313"
